id|alimento|calorias|carbohidratos|proteinas|lipidos
197|barrita de cereales con melocoton y albaricoque|403|77|7|7
198|levadura|164|11.8|27.8|0
199|garbanzo|341|44.3|20.8|5.5
200|guisante seco|302.4|41.2|22.9|1.44
201|haba seca|307|33.3|26.1|2.1
202|judia blanca|284|34.7|21.1|1.6
203|judia pinta|292|35.11|23.58|0.83
204|lenteja|304|40.6|23.18|1.7
205|soja|373|6.29|34.74|18.3
206|garbanzo en conserva|120|14.12|7.2|2.9
207|judia blanca en conserva|101|15.7|6.7|0.3
208|lenteja en conserva|109|14.85|8.8|0.7
209|judia pinta en conserva|115|17.7|8.4|0.2
210|brote de soja|54.9|4.68|5.53|1.03
211|harina de soja|421|13|37.3|20.6
212|batido fermentado de soja|82.4|3.9|5|5.2
213|leche de soja|55|5.76|3.2|1.84
214|tofu|89.1|3.3|8.08|4.78
215|acelga|29.7|4.5|1.88|0.2
216|ajo|119|24.3|4.3|0.23
217|alcachofa|43.88|2.9|2.37|0.12
218|apio|19.2|2.47|1.19|0.2
219|berenjena|21.02|2.39|1.25|0.18
220|berro|20.2|2.03|1.6|0.3
221|boniato|115|24.11|1.63|0.6
222|brecol|33|2.66|3.56|0.2
223|calabacin|23.2|2|1.88|0.5
224|calabaza|28.37|4.59|1.13|0.13
225|cardo|16.9|2.2|0.8|0.1
226|cebolla|31.85|5.3|1.19|0.25
227|col rizada|43.7|2.54|4.3|0.9
228|col de bruselas|42.66|3.29|4.44|0.34
229|coliflor|27.52|2.39|2.44|0.28
230|endivia|23.7|3.6|1.13|0.24
231|escarola|17.4|1|1.6|0.2
232|esparrago verde|20.84|2.04|2.25|0.16
233|espinaca|20.74|0.61|2.63|0.3
234|grelo|20.8|0.1|2.7|0.2
235|guisante verde|90.7|11.3|6.88|0.9
236|judia verde|36.42|4.2|2.38|0.58
237|lechuga|19.6|1.4|1.37|0.6
238|lombarda|26.8|3.54|1.5|0.18
239|pepino|13.28|1.9|0.63|0.2
240|pimiento rojo|32.9|4.2|1.25|0.9
241|pimiento verde|19.68|1.6|0.63|0.8
242|puerro|29|3.26|2.19|0.29
243|bebida tipo danao|49|12|0.7|0.1
244|repollo|32|4.1|1.7|0.45
245|tomate|22.17|3.5|0.88|0.21
246|haba fresca|50.4|4.2|5.4|0.2
247|alga agar cruda|28.8|6.35|0.54|0.03
248|alga musgo de irlanda cruda|54.1|11|1.51|0.16
249|alga kelp cruda|47.4|8.27|1.68|0.56
250|alga laver cruda|45.6|4.81|5.81|0.28
251|alga spirulina cruda|37.2|2.42|5.99|0.39
252|alga wakame cruda|53.5|8.65|3.03|0.64
253|alga agar desecada|336|73.18|6.21|0.3
254|alga espirulina desecada|391|20.3|58.17|7.72
